latitude,longitude,name,price,property_type,month,country_code,suburb,rating,city,availability,minimum_nights,maximum_nights,room_type,bedrooms,bathrooms,amenities_count,number_of_reviews
19.57833,-155.04581,Kuulai Hale Private Cottage,84,Cottage,3,US,Island of Hawaiʻi,5,Unknown,,1,365,Entire home/apt,2.0,1.0,23,35
40.72149,-73.96174,Private room with stunning view,110,Condominium,3,US,Williamsburg,7,Unknown,,3,14,Private room,1.0,1.0,31,126
45.49545,-73.58089,[Parking]  Beautiful Flat in Downtown Montréal,99,Apartment,3,CA,Downtown Montreal,8,Unknown,,1,1124,Entire home/apt,1.0,1.0,32,152
40.81749,-73.94315,Cozy Well-Furnished Home in the Heart of Harlem,110,Apartment,3,US,Manhattan,7,Unknown,,2,30,Private room,1.0,1.0,35,120
40.71749,-73.95246,Cozy Apartment in Williamsburg,200,Apartment,3,US,Williamsburg,5,Unknown,,3,5,Entire home/apt,1.0,1.0,20,8
-33.89424,151.25654,Whole sunny apartment near Bondi Beach,161,Apartment,3,AU,Bondi Junction,5,Unknown,,7,14,Entire home/apt,2.0,1.0,6,1
40.71258,-73.95976,Sunny Private Bedroom in Prime Williamsburg,150,Apartment,3,US,Brooklyn,5,Unknown,,3,90,Private room,1.0,1.0,42,32
19.42905,-155.22552,"Anthurium Alii Gardens Rainforest, Volcano",175,Cottage,3,US,Island of Hawaiʻi,5,Unknown,,1,1125,Entire home/apt,3.0,3.0,28,45
-34.084,151.15653,"Bundeena Base Art House, Sea View with Heated Pool",260,House,3,AU,,5,Unknown,,2,1124,Entire home/apt,3.0,1.0,65,40
-33.87815,151.21023,Central & Modern Apartment in Heart of Sydney,151,Apartment,3,AU,Central Business District,5,Unknown,,3,1125,Entire home/apt,1.0,1.0,25,47
19.997,-155.81746,Mauna Kea High Bluffs Private Home.  Cleaning Fee Waived!,1100,House,3,US,Island of Hawaiʻi,5,Unknown,,5,365,Entire home/apt,4.0,4.5,16,1
22.28275,114.18591,Triple room with private bathroom,652,Hostel,3,HK,Causeway Bay,5,Unknown,,1,1117,Private room,1.0,1.0,8,8
41.02628,28.9694,Very Nice Terrace Flat at Karaköy,200,Apartment,2,TR,Karaköy,5,Unknown,,1,1125,Entire home/apt,0.0,1.0,18,4
-33.84753,151.07253,Amazing view Apt@ Olympic park,159,Apartment,3,AU,Homebush,7,Unknown,,1,1125,Entire home/apt,1.0,1.0,33,109
22.28746,114.15042,Wing Lok 78 Luxury Studio *3A,573,Serviced apartment,3,HK,Central & Western District,5,Unknown,,5,1125,Entire home/apt,0.0,1.0,13,1
41.37261,-8.76167,Appartement en bord de mer,33,Apartment,2,PT,,5,Unknown,,2,1000,Entire home/apt,2.0,1.0,33,32
40.88288,29.06121,"Deniz, orman ve şehir manzaralı.",527,House,2,TR,,5,Unknown,,10,90,Entire home/apt,1.0,1.0,10,2
